proc       sintheta         tanbeta          Mxd          mA           ma           Xsec(pb)    error
bb            0.35             50.0            10           600          300           0.2502    0.001365
bb            0.35             8.0            10           600          250           0.02261    9.433e-05
bb            0.35             8.0            10           600          300           0.01604    6.022e-05
bb            0.4             1.0            10           1000          350           9.197e-05    3.744e-07
bb            0.35             40.0            10           600          350           0.1184    0.0005818
bb            0.35             50.0            10           600          100           2.681    0.02218
bb            0.35             50.0            10           600          150           1.084    0.004367
bb            0.35             8.0            10           600          200           0.0316    0.0001787
bb            0.7             2.0            10           300          150           0.02413    0.0001815
bb            0.3             1.0            10           600          200           0.0002727    1.677e-06
bb            0.6             1.0            10           1000          350           9.605e-05    3.951e-07
bb            0.8             1.0            10           600          200           0.00106    5.462e-06
bb            0.35             50.0            10           600          500           0.03032    0.0001657
bb            0.35             6.0            10           600          200           0.01807    0.0001011
bb            0.7             0.5            10           300          150           0.001523    1.138e-05
bb            0.7             1.0            10           1000          350           6.111e-05    2.708e-07
bb            0.35             50.0            10           600          400           0.09105    0.0004817
bb            0.35             8.0            10           300          250           0.04475    0.0001756
bb            0.35             6.0            10           600          100           0.06454    0.0004592
bb            0.35             6.0            10           600          300           0.009283    3.026e-05
bb            0.35             1.0            10           800          150           0.0006003    5.499e-06
bb            0.35             1.0            10           1000          250           0.0001917    6.24e-07
bb            0.5             1.0            10           600          200           0.0008849    4.92e-06
bb            0.35             0.5            10           600          250           5.395e-05    1.873e-07
bb            0.35             2.0            10           300          150           0.01227    4.19e-05
